customerID,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,ServiceID
2796-NNUFI,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,S7133
3016-KSVCP,No phone service,DSL,No,No,No,No,Yes,No,S7134
4767-HZZHQ,No,Fiber optic,No,Yes,Yes,No,No,No,S7135
2424-WVHPL,No,Fiber optic,No,No,No,Yes,No,No,S7136
7233-PAHHL,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,S7137
6067-NGCEU,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,S7138
9848-JQJTX,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,S7139
8637-XJIVR,Yes,Fiber optic,Yes,No,No,No,No,No,S7140
9803-FTJCG,Yes,DSL,Yes,Yes,No,Yes,No,No,S7141
0278-YXOOG,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,S7142
3212-KXOCR,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,S7143
4598-XLKNJ,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,S7144
6380-ARCEH,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,S7145
3679-XASPY,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,S7146
7123-WQUHX,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,S7147
5386-THSLQ,No phone service,DSL,No,Yes,Yes,No,Yes,No,S7148
3192-NQECA,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,S7149
6180-YBIQI,No phone service,DSL,No,No,No,No,No,No,S7150
6728-DKUCO,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,S7151
9750-BOOHV,No phone service,DSL,Yes,No,No,No,No,No,S7152
8597-CWYHH,Yes,Fiber optic,No,No,No,No,Yes,Yes,S7153
2848-YXSMW,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,S7154
0486-HECZI,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,S7155
4549-ZDQYY,No,DSL,Yes,No,Yes,Yes,No,No,S7156
5712-AHQNN,No,Fiber optic,No,Yes,Yes,No,Yes,No,S7157
4846-WHAFZ,Yes,Fiber optic,No,No,No,No,No,No,S7158
5256-SKJGO,No phone service,DSL,No,Yes,No,Yes,Yes,Yes,S7159
3071-VBYPO,No,Fiber optic,Yes,Yes,No,No,Yes,No,S7160
9560-BBZXK,No phone service,DSL,Yes,No,No,No,No,No,S7161
5299-RULOA,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,S7162
8402-OOOHJ,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,S7163
9445-ZUEQE,Yes,Fiber optic,No,Yes,No,Yes,No,No,S7164
1091-SOZGA,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,S7165
2928-HLDBA,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,S7166
0404-SWRVG,Yes,Fiber optic,No,No,No,No,No,No,S7167
6497-TILVL,No,DSL,Yes,No,No,No,No,No,S7168
7219-TLZHO,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,S7169
4622-YNKIJ,No,Fiber optic,Yes,No,No,Yes,Yes,No,S7170
4412-YLTKF,Yes,Fiber optic,No,No,Yes,No,No,No,S7171
6734-PSBAW,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,S7172
3930-ZGWVE,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,S7173
2639-UGMAZ,No phone service,DSL,Yes,Yes,No,No,Yes,Yes,S7174
2876-GZYZC,Yes,Fiber optic,No,No,No,No,No,Yes,S7175
6207-WIOLX,No phone service,DSL,Yes,Yes,Yes,No,Yes,Yes,S7176
8587-XYZSF,No,DSL,No,No,No,Yes,No,No,S7177
3091-FYHKI,No phone service,DSL,No,No,No,No,No,Yes,S7178
2372-HWUHI,No,DSL,No,No,No,No,No,No,S7179
7799-LGRDP,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,S7180
7850-VWJUU,No,Fiber optic,Yes,No,No,No,No,No,S7181
3774-VBNXY,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,S7182
6217-KDYWC,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,S7183
0390-DCFDQ,No,Fiber optic,No,No,No,No,No,No,S7184
3146-MSEGF,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,S7185
4080-OGPJL,Yes,DSL,Yes,No,No,Yes,No,Yes,S7186
1095-WGNGG,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,S7187
2636-SJDOU,Yes,Fiber optic,Yes,Yes,No,No,No,No,S7188
1131-QQZEB,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,S7189
5716-EZXZN,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,S7190
6837-BJYDQ,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,S7191
2135-RXIHG,No,DSL,No,No,No,No,No,No,S7192
6440-DKQGE,No,DSL,No,Yes,Yes,No,Yes,No,S7193
3466-BYAVD,No,DSL,No,Yes,Yes,Yes,No,Yes,S7194
3780-YVMFA,No,DSL,No,No,No,Yes,Yes,Yes,S7195
3874-EQOEP,Yes,Fiber optic,No,No,No,No,Yes,Yes,S7196
1679-JRFBR,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,S7197
9073-ZZIAY,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,S7198
3077-RSNTJ,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,S7199
6551-GNYDG,No,Fiber optic,No,No,No,No,No,Yes,S7200
9167-APMXZ,Yes,Fiber optic,No,No,No,No,Yes,No,S7201
2749-CTKAJ,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,S7202
6371-NZYEG,No,DSL,Yes,No,Yes,No,Yes,No,S7203
7554-NEWDD,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,S7204
8992-VONJD,No,DSL,Yes,Yes,No,No,No,No,S7205
0867-MKZVY,Yes,Fiber optic,Yes,No,No,No,No,No,S7206
4482-EWFMI,No,Fiber optic,No,No,No,No,No,No,S7207
4648-YPBTM,Yes,DSL,No,Yes,Yes,Yes,No,Yes,S7208
2907-ILJBN,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,S7209
6345-FZOQH,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,S7210
3376-BMGFE,No,Fiber optic,No,No,No,No,No,No,S7211
5997-OPVFA,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,S7212
3445-HXXGF,No phone service,DSL,No,Yes,Yes,No,No,Yes,S7213
1159-WFSGR,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,S7214
7654-YWJUF,No,Fiber optic,Yes,No,Yes,Yes,No,No,S7215
1875-QIVME,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,S7216
6727-IOTLZ,No,DSL,No,Yes,Yes,Yes,Yes,Yes,S7217
0691-JVSYA,No,Fiber optic,No,No,Yes,No,Yes,Yes,S7218
5918-VUKWP,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,S7219
1744-JHKYS,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,S7220
2656-FMOKZ,Yes,Fiber optic,No,No,No,No,No,No,S7221
2070-FNEXE,No,Fiber optic,Yes,No,No,No,No,No,S7222
5947-SGKCL,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,S7223
3712-PKXZA,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,S7224
6317-YPKDH,No phone service,DSL,No,Yes,No,No,No,No,S7225
6582-OIVSP,No,DSL,No,No,No,No,No,No,S7226
9367-WXLCH,Yes,Fiber optic,No,No,No,No,No,Yes,S7227
5524-KHNJP,No,DSL,Yes,No,Yes,No,Yes,Yes,S7228
1918-ZBFQJ,No,Fiber optic,No,Yes,Yes,No,No,No,S7229
1024-GUALD,No phone service,DSL,No,No,No,No,No,No,S7230
4827-USJHP,No,DSL,No,Yes,No,No,No,No,S7231
8167-GJLRN,No phone service,DSL,No,No,No,Yes,No,No,S7232
0956-SYCWG,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,S7233
8017-UVSZU,Yes,DSL,No,Yes,No,No,No,No,S7234
7100-FQPRV,Yes,DSL,Yes,No,No,Yes,No,Yes,S7235
2472-OVKUP,No,Fiber optic,No,Yes,Yes,No,No,Yes,S7236
2984-RGEYA,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,S7237
9680-NIAUV,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,S7238
2146-EGVDT,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,S7239
2604-IJPDU,No,Fiber optic,Yes,Yes,No,Yes,Yes,No,S7240
9178-JHUVJ,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,S7241
6168-YBYNP,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,S7242
7255-SSFBC,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,S7243
3645-DEYGF,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,S7244
9323-HGFWY,No,Fiber optic,Yes,No,No,Yes,Yes,Yes,S7245
8544-GOQSH,No,Fiber optic,No,Yes,No,Yes,No,No,S7246
3363-DTIVD,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,S7247
7018-WBJNK,No,Fiber optic,No,No,No,No,Yes,No,S7248
9142-KZXOP,No,Fiber optic,No,No,No,No,No,No,S7249
7674-YTAFD,No,Fiber optic,No,Yes,No,Yes,No,No,S7250
6348-SNFUS,No phone service,DSL,Yes,Yes,Yes,Yes,No,Yes,S7251
1285-OKIPP,No,Fiber optic,No,No,No,No,No,Yes,S7252
7825-ECJRF,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,S7253
1347-KTTTA,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,S7254
7841-TZDMQ,No,DSL,No,No,No,No,No,No,S7255
4195-NZGTA,No phone service,DSL,No,No,No,No,No,No,S7256
7157-SMCFK,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,S7257
4709-LKHYG,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,S7258
2504-DSHIH,Yes,Fiber optic,No,No,No,No,No,Yes,S7259
0699-NDKJM,No phone service,DSL,Yes,Yes,Yes,No,Yes,Yes,S7260
9286-BHDQG,No phone service,DSL,Yes,Yes,Yes,Yes,No,No,S7261
0230-WEQUW,No phone service,DSL,Yes,Yes,Yes,Yes,Yes,No,S7262
2040-LDIWQ,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,S7263
6496-JDSSB,No,Fiber optic,No,No,No,No,Yes,No,S7264
9408-SSNVZ,No,Fiber optic,No,No,No,No,No,No,S7265
4443-EMBNA,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,S7266
6469-MRVET,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,S7267
0742-MOABM,No,DSL,No,No,No,Yes,No,No,S7268
5961-VUSRV,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,S7269
6778-JFCMK,No phone service,DSL,Yes,No,No,No,Yes,Yes,S7270
6341-JVQGF,No,DSL,Yes,No,Yes,Yes,Yes,Yes,S7271
2232-DMLXU,No,DSL,No,No,No,No,Yes,No,S7272
4811-JBUVU,Yes,Fiber optic,No,No,No,Yes,No,Yes,S7273
0945-TSONX,Yes,DSL,Yes,Yes,No,Yes,Yes,Yes,S7274
2651-ZCBXV,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,S7275
3316-UWXUY,No,Fiber optic,Yes,Yes,No,Yes,No,Yes,S7276
8937-RDTHP,No,Fiber optic,Yes,No,No,No,No,Yes,S7277
7083-MIOPC,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,S7278
1984-GPTEH,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,S7279
1251-KRREG,Yes,DSL,No,Yes,No,No,No,No,S7280
0621-JFHOL,No phone service,DSL,No,No,No,Yes,No,No,S7281
9903-LYSAB,Yes,Fiber optic,No,No,No,No,No,No,S7282
0094-OIFMO,No,Fiber optic,No,Yes,No,No,Yes,Yes,S7283
9227-UAQFT,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,S7284
7301-ABVAD,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,S7285
6614-FHDBO,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,S7286
7576-ASEJU,No,DSL,Yes,No,No,Yes,Yes,Yes,S7287
9058-HRZSV,No,Fiber optic,Yes,Yes,Yes,No,No,Yes,S7288
4522-AKYLR,No,DSL,No,Yes,Yes,No,No,No,S7289
0221-WMXNQ,No,Fiber optic,Yes,No,No,No,No,No,S7290
0303-UNCIP,Yes,DSL,No,No,Yes,No,No,Yes,S7291
9947-OTFQU,No,Fiber optic,No,Yes,No,No,No,No,S7292
0322-YINQP,No,DSL,Yes,No,No,No,No,No,S7293
0959-WHOKV,Yes,Fiber optic,Yes,Yes,Yes,No,No,Yes,S7294
4075-JFPGR,No,Fiber optic,Yes,Yes,Yes,No,Yes,No,S7295
4629-NRXKX,No,Fiber optic,No,No,No,No,No,No,S7296
9514-JDSKI,No phone service,DSL,No,Yes,No,No,Yes,No,S7297
3282-ZISZV,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,S7298
3675-YDUPJ,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,S7299
4111-BNXIF,No phone service,DSL,No,Yes,Yes,Yes,Yes,Yes,S7300
7017-VFHAY,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,S7301
6655-LHBYW,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,S7302
4959-JOSRX,No,DSL,No,No,No,No,No,No,S7303
5046-NUHWD,No phone service,DSL,Yes,No,Yes,No,No,Yes,S7304
7273-TEFQD,No phone service,DSL,No,No,Yes,No,No,Yes,S7305
3606-TWKGI,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,S7306
7529-ZDFXI,Yes,Fiber optic,No,Yes,No,No,No,Yes,S7307
7605-BDWDC,No phone service,DSL,Yes,Yes,No,Yes,No,Yes,S7308
1950-KSVVJ,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,S7309
0123-CRBRT,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,S7310
6292-TOSSS,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,S7311
3197-ARFOY,No,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,S7312
6323-AYBRX,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,S7313
7014-ZZXAW,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,S7314
4385-GZQXV,No,Fiber optic,No,No,No,Yes,Yes,Yes,S7315
7633-MVPUY,No,DSL,Yes,Yes,No,Yes,No,No,S7316
6366-ZGQGL,No phone service,DSL,No,No,No,No,No,No,S7317
4716-HHKQH,Yes,Fiber optic,No,Yes,No,Yes,Yes,Yes,S7318
5940-AHUHD,No,Fiber optic,No,No,No,No,No,No,S7319
6432-TWQLB,Yes,Fiber optic,No,Yes,No,Yes,No,No,S7320
4484-GLZOU,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,S7321
3179-GBRWV,No,DSL,Yes,Yes,No,No,No,Yes,S7322
8645-KWHJO,No phone service,DSL,No,No,Yes,Yes,Yes,Yes,S7323
4130-MZLCC,No,DSL,No,Yes,No,No,No,No,S7324
0314-TKOSI,No,DSL,Yes,Yes,No,No,No,No,S7325
8229-MYEJZ,No,DSL,No,Yes,No,No,No,No,S7326
2080-SRCDE,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,S7327
9577-WJVCQ,Yes,DSL,Yes,No,No,No,No,No,S7328
9512-UIBFX,No,Fiber optic,No,No,Yes,No,Yes,Yes,S7329
6202-DYYFX,Yes,Fiber optic,No,No,No,No,No,No,S7330
3808-HFKDE,No,DSL,No,No,No,No,No,No,S7331
5583-SXDAG,No,Fiber optic,No,No,No,No,No,No,S7332
3488-PGMQJ,No,Fiber optic,No,Yes,No,No,No,No,S7333
3580-REOAC,No,DSL,No,No,No,No,No,No,S7334
7534-BFESC,Yes,Fiber optic,No,No,No,No,No,No,S7335
3727-OWVYD,No,DSL,Yes,Yes,Yes,No,No,No,S7336
2294-SALNE,No,Fiber optic,No,Yes,Yes,Yes,No,No,S7337
4847-TAJYI,No,Fiber optic,No,No,No,No,Yes,Yes,S7338
1563-IWQEX,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,S7339
8203-XJZRC,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,S7340
6556-DBKZF,No,Fiber optic,No,No,Yes,No,No,No,S7341
6851-WEFYX,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,S7342
2985-JUUBZ,Yes,DSL,No,No,Yes,No,Yes,Yes,S7343
6390-DSAZX,No,Fiber optic,Yes,No,No,No,No,No,S7344
0895-LMRSF,No,DSL,No,No,No,No,Yes,Yes,S7345
8098-LLAZX,Yes,Fiber optic,No,No,No,No,Yes,Yes,S7346
8266-VBFQL,No,Fiber optic,No,No,Yes,Yes,No,Yes,S7347
8181-YHCMF,No phone service,DSL,No,Yes,Yes,Yes,Yes,Yes,S7348
2240-HSJQD,Yes,Fiber optic,No,Yes,No,No,No,No,S7349
1248-DYXUB,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,S7350
0265-EDXBD,Yes,Fiber optic,No,No,No,No,No,No,S7351
4115-BNPJY,No,DSL,No,No,Yes,Yes,Yes,Yes,S7352
3167-SNQPL,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,S7353
4091-TVOCN,Yes,DSL,Yes,No,Yes,No,Yes,Yes,S7354
1098-TDVUQ,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,S7355
7277-OZCGZ,No,Fiber optic,Yes,No,No,Yes,No,Yes,S7356
1557-EMYVT,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,S7357
2799-ARNLO,No,Fiber optic,No,No,No,No,No,No,S7358
7563-BIUPC,No,Fiber optic,No,No,No,No,Yes,No,S7359
5027-YOCXN,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,S7360
3973-SKMLN,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,S7361
2321-OMBXY,No,DSL,Yes,Yes,No,Yes,Yes,Yes,S7362
2840-XANRC,No,Fiber optic,No,No,Yes,No,Yes,Yes,S7363
6745-JEFZB,Yes,Fiber optic,No,No,No,Yes,Yes,No,S7364
5020-ZSTTY,Yes,DSL,Yes,Yes,No,Yes,Yes,Yes,S7365
9880-TDQAC,No phone service,DSL,No,Yes,Yes,Yes,Yes,Yes,S7366
8705-WZCYL,No,DSL,No,No,No,No,No,No,S7367
7102-JJVTX,No,DSL,Yes,No,No,No,No,No,S7368
8626-PTQGE,No phone service,DSL,Yes,Yes,No,Yes,Yes,Yes,S7369
4983-CLMLV,Yes,Fiber optic,No,Yes,No,Yes,Yes,Yes,S7370
5701-YVSVF,No,Fiber optic,No,No,No,Yes,Yes,No,S7371
5804-LEPIM,No,Fiber optic,No,No,No,No,No,No,S7372
5697-GOMBF,No phone service,DSL,No,No,No,No,Yes,No,S7373
2739-CACDQ,Yes,Fiber optic,No,No,Yes,No,No,No,S7374
9385-EHGDO,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,S7375
9498-FIMXL,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,S7376
2379-GYFLQ,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,S7377
0122-OAHPZ,Yes,Fiber optic,No,No,No,No,No,No,S7378
2868-SNELZ,Yes,Fiber optic,No,No,Yes,No,No,No,S7379
4322-RCYMT,Yes,DSL,No,Yes,Yes,Yes,No,Yes,S7380
6680-NENYN,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,S7381
2088-IEBAU,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,S7382
7982-VCELR,No,Fiber optic,No,Yes,No,No,Yes,Yes,S7383
1343-EHPYB,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,S7384
