customerID,PaymentMethod,PaymentID
3583-KRKMD,Bank transfer (automatic),P7409
1010-DIAUQ,Bank transfer (automatic),P7410
9069-LGEUL,Bank transfer (automatic),P7411
7302-ZHMHP,Mailed check,P7412
9571-EDEBV,Credit card (automatic),P7413
3520-FJGCV,Credit card (automatic),P7414
6563-VRERX,Mailed check,P7415
0259-GBZSH,Electronic check,P7416
6122-EFVKN,Mailed check,P7417
2805-EDJPQ,Credit card (automatic),P7418
6862-CQUMB,Credit card (automatic),P7419
7156-MXBJE,Credit card (automatic),P7420
6158-HDPXZ,Mailed check,P7421
9601-BRXPO,Bank transfer (automatic),P7422
2863-IMQDR,Electronic check,P7423
5686-CMAWK,Electronic check,P7424
5651-CRHKQ,Bank transfer (automatic),P7425
6905-NIQIN,Mailed check,P7426
8204-YJCLA,Bank transfer (automatic),P7427
5167-ZFFMM,Credit card (automatic),P7428
6583-SZVGP,Bank transfer (automatic),P7429
4895-TMWIR,Mailed check,P7430
0533-BNWKF,Electronic check,P7431
1708-PBBOA,Electronic check,P7432
8782-LKFPK,Mailed check,P7433
5522-JBWMO,Electronic check,P7434
3597-MVHJT,Bank transfer (automatic),P7435
9774-NRNAU,Bank transfer (automatic),P7436
0224-RLWWD,Electronic check,P7437
9967-ATRFS,Mailed check,P7438
3951-NJCVI,Electronic check,P7439
2977-CEBSX,Credit card (automatic),P7440
0177-PXBAT,Bank transfer (automatic),P7441
6599-CEBNN,Credit card (automatic),P7442
2519-ERQOJ,Electronic check,P7443
5876-QMYLD,Mailed check,P7444
2277-AXSDC,Bank transfer (automatic),P7445
9442-JTWDL,Credit card (automatic),P7446
0979-PHULV,Credit card (automatic),P7447
3067-SVMTC,Bank transfer (automatic),P7448
5495-GPSRW,Mailed check,P7449
7606-BPHHN,Credit card (automatic),P7450
4742-DRORA,Bank transfer (automatic),P7451
0111-KLBQG,Mailed check,P7452
4800-VHZKI,Mailed check,P7453
7989-CHGTL,Mailed check,P7454
0334-GDDSO,Electronic check,P7455
4163-NCJAK,Bank transfer (automatic),P7456
5233-AOZUF,Electronic check,P7457
5973-EJGDP,Electronic check,P7458
1996-DBMUS,Bank transfer (automatic),P7459
7916-VCCPB,Bank transfer (automatic),P7460
4686-GEFRM,Bank transfer (automatic),P7461
5249-QYHEX,Mailed check,P7462
0578-SKVMF,Electronic check,P7463
5564-NEMQO,Bank transfer (automatic),P7464
2233-FAGXV,Mailed check,P7465
5605-IYGFG,Bank transfer (automatic),P7466
7663-ZTEGJ,Credit card (automatic),P7467
3935-TBRZZ,Mailed check,P7468
8111-BKVDS,Bank transfer (automatic),P7469
2055-SIFSS,Bank transfer (automatic),P7470
2806-MLNTI,Bank transfer (automatic),P7471
8734-DKSTZ,Electronic check,P7472
4360-PNRQB,Bank transfer (automatic),P7473
6152-ONASV,Bank transfer (automatic),P7474
9063-ZGTUY,Mailed check,P7475
7781-HVGMK,Credit card (automatic),P7476
2181-UAESM,Electronic check,P7477
2957-LOLHO,Bank transfer (automatic),P7478
6048-NJXHX,Electronic check,P7479
2320-SLKMB,Credit card (automatic),P7480
4980-URKXC,Bank transfer (automatic),P7481
4376-KFVRS,Credit card (automatic),P7482
5886-VLQVU,Bank transfer (automatic),P7483
3577-AMVUX,Mailed check,P7484
0771-WLCLA,Electronic check,P7485
5628-RKIFK,Credit card (automatic),P7486
0206-TBWLC,Mailed check,P7487
2937-FTHUR,Electronic check,P7488
1910-FMXJM,Electronic check,P7489
7752-XUSCI,Electronic check,P7490
4110-PFEUZ,Mailed check,P7491
0732-OCQOC,Bank transfer (automatic),P7492
5168-MSWXT,Electronic check,P7493
1090-ESELR,Bank transfer (automatic),P7494
8592-PLTMQ,Mailed check,P7495
5760-WRAHC,Mailed check,P7496
8847-GEOOQ,Bank transfer (automatic),P7497
0256-LTHVJ,Electronic check,P7498
4785-FCIFB,Mailed check,P7499
8313-NDOIA,Electronic check,P7500
5149-CUZUJ,Bank transfer (automatic),P7501
0942-KOWSM,Bank transfer (automatic),P7502
4237-CLSMM,Mailed check,P7503
1452-VOQCH,Electronic check,P7504
4719-UMSIY,Mailed check,P7505
6614-VBEGU,Bank transfer (automatic),P7506
0880-TKATG,Electronic check,P7507
3811-VBYBZ,Electronic check,P7508
1480-BKXGA,Bank transfer (automatic),P7509
2996-XAUVF,Mailed check,P7510
9076-AXYIK,Electronic check,P7511
5968-XQIVE,Electronic check,P7512
8896-RAZCR,Mailed check,P7513
4640-UHDOS,Electronic check,P7514
4933-IKULF,Mailed check,P7515
3583-EKAPL,Electronic check,P7516
1304-BCCFO,Mailed check,P7517
4104-PVRPS,Mailed check,P7518
9399-APLBT,Electronic check,P7519
2359-KMGLI,Electronic check,P7520
3780-DDGSE,Electronic check,P7521
4431-EDMIQ,Electronic check,P7522
0306-JAELE,Electronic check,P7523
6227-HWPWX,Bank transfer (automatic),P7524
0486-LGCCH,Mailed check,P7525
0447-BEMNG,Bank transfer (automatic),P7526
4612-SSVHJ,Electronic check,P7527
5168-MQQCA,Bank transfer (automatic),P7528
5949-XIKAE,Electronic check,P7529
7971-HLVXI,Credit card (automatic),P7530
9094-AZPHK,Electronic check,P7531
3649-JPUGY,Bank transfer (automatic),P7532
4472-LVYGI,Bank transfer (automatic),P7533
8372-JUXUI,Electronic check,P7534
3552-CTCYF,Bank transfer (automatic),P7535
6778-YSNIH,Electronic check,P7536
0388-EOPEX,Electronic check,P7537
5756-OZRIO,Bank transfer (automatic),P7538
6579-JPICP,Mailed check,P7539
8205-OTCHB,Bank transfer (automatic),P7540
4134-BSXLX,Mailed check,P7541
0505-SPOOW,Bank transfer (automatic),P7542
6235-VDHOM,Electronic check,P7543
7783-YKGDV,Bank transfer (automatic),P7544
4374-YMUSQ,Credit card (automatic),P7545
4513-CXYIX,Credit card (automatic),P7546
3957-HHLMR,Bank transfer (automatic),P7547
7803-XOCCZ,Bank transfer (automatic),P7548
5736-YEJAX,Credit card (automatic),P7549
5609-CEBID,Electronic check,P7550
8981-FJGLA,Mailed check,P7551
7218-HKQFK,Electronic check,P7552
4636-QRJKY,Electronic check,P7553
1135-LMECX,Mailed check,P7554
4332-MUOEZ,Credit card (automatic),P7555
8535-SFUTN,Electronic check,P7556
5956-VKDTT,Electronic check,P7557
8677-HDZEE,Bank transfer (automatic),P7558
2475-MROZF,Credit card (automatic),P7559
9412-GHEEC,Bank transfer (automatic),P7560
3482-ABPKK,Mailed check,P7561
6705-LXORM,Electronic check,P7562
0257-ZESQC,Bank transfer (automatic),P7563
7531-GQHME,Credit card (automatic),P7564
5174-ITUMV,Electronic check,P7565
4109-CYRBD,Electronic check,P7566
0913-XWSCN,Bank transfer (automatic),P7567
6825-UYPFK,Bank transfer (automatic),P7568
8397-MVTAZ,Electronic check,P7569
0750-EBAIU,Electronic check,P7570
8606-CIQUL,Credit card (automatic),P7571
3571-DPYUH,Credit card (automatic),P7572
7601-GNDYK,Mailed check,P7573
0356-OBMAC,Bank transfer (automatic),P7574
8067-NIOYM,Credit card (automatic),P7575
1403-GYAFU,Credit card (automatic),P7576
4234-XTNEA,Electronic check,P7577
1297-VQDRP,Credit card (automatic),P7578
9282-IZGQK,Electronic check,P7579
5348-CAGXB,Electronic check,P7580
0621-HJWXJ,Bank transfer (automatic),P7581
5844-QVTAT,Mailed check,P7582
8905-IAZPF,Credit card (automatic),P7583
5394-MEITZ,Bank transfer (automatic),P7584
6859-QNXIQ,Bank transfer (automatic),P7585
2782-LFZVW,Mailed check,P7586
2866-IKBTM,Mailed check,P7587
1342-JPNKI,Bank transfer (automatic),P7588
2817-NTQDO,Credit card (automatic),P7589
7129-AZJDE,Bank transfer (automatic),P7590
6986-IJDHX,Mailed check,P7591
2560-PPCHE,Bank transfer (automatic),P7592
4676-MQUEA,Bank transfer (automatic),P7593
8138-EALND,Mailed check,P7594
3580-HYCSP,Bank transfer (automatic),P7595
1352-HNSAW,Bank transfer (automatic),P7596
2075-PUEPR,Bank transfer (automatic),P7597
1982-FEBTD,Credit card (automatic),P7598
5301-GAUUY,Bank transfer (automatic),P7599
5791-KAJFD,Bank transfer (automatic),P7600
2654-VBVPB,Bank transfer (automatic),P7601
1154-HYWWO,Mailed check,P7602
2501-XWWTZ,Electronic check,P7603
3716-UVSPD,Electronic check,P7604
6815-ABQFQ,Electronic check,P7605
7343-EOBEU,Mailed check,P7606
3701-SFMUH,Credit card (automatic),P7607
6103-LIANB,Credit card (automatic),P7608
7319-VENRZ,Bank transfer (automatic),P7609
5846-NEQVZ,Credit card (automatic),P7610
6967-QIQRV,Electronic check,P7611
5781-RFZRP,Credit card (automatic),P7612
0939-YAPAF,Electronic check,P7613
0308-IVGOK,Credit card (automatic),P7614
7293-LSCDV,Credit card (automatic),P7615
7025-WCBNE,Bank transfer (automatic),P7616
5756-JYOJT,Credit card (automatic),P7617
4710-FDUIZ,Credit card (automatic),P7618
6030-REHUX,Electronic check,P7619
9548-LIGTA,Mailed check,P7620
5150-LJNSR,Bank transfer (automatic),P7621
8270-RKSAP,Electronic check,P7622
6522-YRBXD,Electronic check,P7623
2640-LYMOV,Mailed check,P7624
1218-VKFPE,Mailed check,P7625
3627-FHKBK,Mailed check,P7626
2865-TCHJW,Electronic check,P7627
1423-BMPBQ,Mailed check,P7628
2393-DIVAI,Mailed check,P7629
5192-EBGOV,Electronic check,P7630
4568-KNYWR,Credit card (automatic),P7631
8752-IMQOS,Mailed check,P7632
0742-LAFQK,Electronic check,P7633
0795-LAFGP,Electronic check,P7634
0619-OLYUR,Credit card (automatic),P7635
5512-IDZEI,Electronic check,P7636
0459-SPZHJ,Credit card (automatic),P7637
0215-BQKGS,Credit card (automatic),P7638
9244-ZVAPM,Mailed check,P7639
0719-SYFRB,Mailed check,P7640
8208-EUMTE,Mailed check,P7641
5172-MIGPM,Mailed check,P7642
1710-RCXUS,Credit card (automatic),P7643
0374-FIUCA,Credit card (automatic),P7644
5839-SUYVZ,Credit card (automatic),P7645
5173-ZXXXL,Mailed check,P7646
1096-ADRUX,Bank transfer (automatic),P7647
2001-MCUUW,Electronic check,P7648
2731-GJRDG,Bank transfer (automatic),P7649
4723-BEGSG,Credit card (automatic),P7650
6516-NKQBO,Credit card (automatic),P7651
8672-OAUPW,Credit card (automatic),P7652
8207-DMRVL,Bank transfer (automatic),P7653
3419-SNJJD,Bank transfer (automatic),P7654
6543-CPZMK,Electronic check,P7655
4765-OXPPD,Mailed check,P7656
2804-ETQDK,Mailed check,P7657
6689-VRRTK,Credit card (automatic),P7658
7138-GIRSH,Bank transfer (automatic),P7659
9396-ZSFLL,Mailed check,P7660
6464-KEXXH,Credit card (automatic),P7661
7134-MJPDY,Credit card (automatic),P7662
5240-CAOYT,Bank transfer (automatic),P7663
4059-IIEBK,Bank transfer (automatic),P7664
4881-JVQOD,Bank transfer (automatic),P7665
0516-UXRMT,Electronic check,P7666
4851-BQDNX,Electronic check,P7667
5148-HKFIR,Mailed check,P7668
1009-IRMNA,Bank transfer (automatic),P7669
3003-CMDUU,Electronic check,P7670
5016-IBERQ,Electronic check,P7671
6797-UCJHZ,Credit card (automatic),P7672
2469-DTSGX,Electronic check,P7673
4554-YGZIH,Credit card (automatic),P7674
5099-BAILX,Bank transfer (automatic),P7675
9931-KGHOA,Bank transfer (automatic),P7676
1775-KWJKQ,Credit card (automatic),P7677
7665-VIGUD,Mailed check,P7678
9411-TPQQV,Bank transfer (automatic),P7679
7207-RMRDB,Electronic check,P7680
7954-MLBUN,Bank transfer (automatic),P7681
2077-DDHJK,Credit card (automatic),P7682
4913-EHYUI,Bank transfer (automatic),P7683
0195-IESCP,Electronic check,P7684
9574-BOSMD,Bank transfer (automatic),P7685
4580-TMHJU,Electronic check,P7686
0970-ETWGE,Electronic check,P7687
4908-XAXAY,Bank transfer (automatic),P7688
8404-VLQFB,Electronic check,P7689
1626-ERCMM,Electronic check,P7690
0887-HJGAR,Mailed check,P7691
2391-IPLOP,Electronic check,P7692
5644-PDMZC,Electronic check,P7693
3509-GWQGF,Credit card (automatic),P7694
9576-ANLXO,Bank transfer (automatic),P7695
2024-BASKD,Mailed check,P7696
5845-BZZIB,Mailed check,P7697
1140-UKVZG,Mailed check,P7698
4160-AMJTL,Electronic check,P7699
5183-SNMJQ,Credit card (automatic),P7700
8100-PNJMH,Credit card (automatic),P7701
7838-LAZFO,Bank transfer (automatic),P7702
4464-JCOLN,Mailed check,P7703
2085-JVGAD,Bank transfer (automatic),P7704
5650-VDUDS,Mailed check,P7705
8095-WANWK,Mailed check,P7706
3030-ZKIWL,Mailed check,P7707
9565-FLVCG,Mailed check,P7708
8755-OGKNA,Bank transfer (automatic),P7709
2800-VEQXM,Mailed check,P7710
7538-GWHML,Electronic check,P7711
