customerID,ContractType,PaperlessBilling,MonthlyCharges,TotalCharges,Churn,BillingID
4808-YNLEU,One year,Yes,62.15,2215.45,No,B7131
1862-QRWPE,Two year,No,20.65,1057,No,B7132
2796-NNUFI,Two year,Yes,19.95,927.1,No,B7133
3016-KSVCP,Month-to-month,No,33.75,1009.25,No,B7134
4767-HZZHQ,Month-to-month,No,82.05,2570.2,No,B7135
2424-WVHPL,Month-to-month,No,74.7,74.7,No,B7136
7233-PAHHL,Two year,Yes,84.0,5714.25,No,B7137
6067-NGCEU,Month-to-month,Yes,111.05,7107,No,B7138
9848-JQJTX,Two year,Yes,100.9,7459.05,No,B7139
8637-XJIVR,Month-to-month,Yes,78.95,927.35,Yes,B7140
9803-FTJCG,One year,Yes,66.85,4748.7,No,B7141
0278-YXOOG,Month-to-month,No,21.05,113.85,Yes,B7142
3212-KXOCR,Two year,No,21.0,1107.2,No,B7143
4598-XLKNJ,Month-to-month,Yes,98.5,2514.5,Yes,B7144
6380-ARCEH,Month-to-month,No,20.2,20.2,No,B7145
3679-XASPY,Month-to-month,No,19.45,19.45,No,B7146
7123-WQUHX,One year,No,95.0,3605.6,No,B7147
5386-THSLQ,One year,No,45.55,3027.25,No,B7148
3192-NQECA,Two year,Yes,110.0,7611.85,Yes,B7149
6180-YBIQI,Month-to-month,No,24.3,100.2,No,B7150
6728-DKUCO,One year,Yes,104.15,7303.05,No,B7151
9750-BOOHV,One year,No,30.15,927.65,No,B7152
8597-CWYHH,One year,No,94.35,3921.3,No,B7153
2848-YXSMW,Two year,No,19.4,1363.25,No,B7154
0486-HECZI,Month-to-month,Yes,96.75,5238.9,Yes,B7155
4549-ZDQYY,One year,No,57.95,3042.25,No,B7156
5712-AHQNN,Month-to-month,Yes,91.65,3954.1,No,B7157
4846-WHAFZ,Month-to-month,Yes,76.5,2868.15,Yes,B7158
5256-SKJGO,Two year,Yes,54.6,3423.5,No,B7159
3071-VBYPO,Month-to-month,No,89.85,248.4,No,B7160
9560-BBZXK,Two year,No,31.05,1126.35,No,B7161
5299-RULOA,Month-to-month,Yes,100.25,1064.65,Yes,B7162
8402-OOOHJ,Two year,No,20.65,835.15,No,B7163
9445-ZUEQE,Month-to-month,Yes,85.2,2151.6,No,B7164
1091-SOZGA,One year,Yes,99.8,5515.45,No,B7165
2928-HLDBA,Month-to-month,No,20.7,112.75,No,B7166
0404-SWRVG,Month-to-month,Yes,74.4,229.55,Yes,B7167
6497-TILVL,Month-to-month,No,50.7,350.35,No,B7168
7219-TLZHO,Month-to-month,No,20.85,62.9,No,B7169
4622-YNKIJ,Two year,Yes,88.95,3027.65,No,B7170
4412-YLTKF,Month-to-month,Yes,78.05,2135.5,Yes,B7171
6734-PSBAW,Two year,Yes,23.55,1723.95,No,B7172
3930-ZGWVE,Month-to-month,No,19.75,19.75,No,B7173
2639-UGMAZ,One year,Yes,56.45,3985.35,No,B7174
2876-GZYZC,Month-to-month,Yes,85.95,1215.65,No,B7175
6207-WIOLX,Month-to-month,Yes,58.6,1502.65,Yes,B7176
8587-XYZSF,Two year,No,50.55,3260.1,No,B7177
3091-FYHKI,Month-to-month,Yes,35.45,35.45,Yes,B7178
2372-HWUHI,Month-to-month,No,44.35,81.25,Yes,B7179
7799-LGRDP,Two year,Yes,25.7,1188.2,No,B7180
7850-VWJUU,Month-to-month,Yes,75.0,1778.5,No,B7181
3774-VBNXY,Two year,No,20.2,1277.75,No,B7182
6217-KDYWC,Two year,Yes,19.6,1170.55,No,B7183
0390-DCFDQ,Month-to-month,Yes,70.45,70.45,Yes,B7184
3146-MSEGF,Two year,Yes,88.05,6425.65,No,B7185
4080-OGPJL,Month-to-month,No,71.15,563.65,Yes,B7186
1095-WGNGG,Two year,Yes,101.05,5971.25,No,B7187
2636-SJDOU,One year,Yes,84.3,5289.05,No,B7188
1131-QQZEB,Two year,No,23.95,1756.2,No,B7189
5716-EZXZN,Two year,Yes,99.05,6416.7,No,B7190
6837-BJYDQ,One year,No,19.6,61.35,No,B7191
2135-RXIHG,Month-to-month,Yes,45.65,45.65,Yes,B7192
6440-DKQGE,One year,No,64.5,1929.95,No,B7193
3466-BYAVD,Month-to-month,Yes,69.5,1071.4,No,B7194
3780-YVMFA,Month-to-month,Yes,68.55,564.35,No,B7195
3874-EQOEP,Month-to-month,No,95.0,655.5,Yes,B7196
1679-JRFBR,One year,Yes,108.15,7930.55,No,B7197
9073-ZZIAY,Two year,No,86.1,5215.25,No,B7198
3077-RSNTJ,Month-to-month,No,19.7,113.5,No,B7199
6551-GNYDG,Month-to-month,Yes,80.9,1152.8,No,B7200
9167-APMXZ,Month-to-month,Yes,84.15,1821.95,No,B7201
2749-CTKAJ,One year,No,20.15,419.9,No,B7202
6371-NZYEG,Two year,No,64.25,1024,No,B7203
7554-NEWDD,Two year,No,25.7,251.6,No,B7204
8992-VONJD,Month-to-month,Yes,56.0,764.55,No,B7205
0867-MKZVY,Month-to-month,No,82.4,1592.35,Yes,B7206
4482-EWFMI,Month-to-month,Yes,69.7,135.2,No,B7207
4648-YPBTM,Two year,Yes,73.9,3958.25,No,B7208
2907-ILJBN,One year,No,20.6,233.9,No,B7209
6345-FZOQH,Two year,No,19.9,1363.45,No,B7210
3376-BMGFE,Month-to-month,Yes,70.9,273,Yes,B7211
5997-OPVFA,Two year,Yes,89.05,6254.45,No,B7212
3445-HXXGF,Month-to-month,Yes,45.3,2651.2,Yes,B7213
1159-WFSGR,Month-to-month,No,20.4,321.4,No,B7214
7654-YWJUF,One year,Yes,84.25,3539.25,No,B7215
1875-QIVME,Month-to-month,Yes,104.4,242.8,Yes,B7216
6727-IOTLZ,Two year,No,81.95,1181.75,No,B7217
0691-JVSYA,One year,Yes,94.85,5000.2,Yes,B7218
5918-VUKWP,One year,No,20.55,654.55,No,B7219
1744-JHKYS,Month-to-month,No,24.7,780.2,No,B7220
2656-FMOKZ,Month-to-month,Yes,74.45,1145.7,Yes,B7221
2070-FNEXE,Month-to-month,No,76.45,503.6,Yes,B7222
5947-SGKCL,Month-to-month,Yes,105.35,1559.25,No,B7223
3712-PKXZA,One year,Yes,20.55,1252,No,B7224
6317-YPKDH,Month-to-month,No,29.95,29.95,Yes,B7225
6582-OIVSP,Month-to-month,No,45.3,45.3,No,B7226
9367-WXLCH,Month-to-month,No,84.5,662.65,Yes,B7227
5524-KHNJP,One year,No,74.75,2453.3,No,B7228
1918-ZBFQJ,Month-to-month,Yes,79.25,1111.65,Yes,B7229
1024-GUALD,Month-to-month,Yes,24.8,24.8,Yes,B7230
4827-USJHP,Month-to-month,Yes,51.8,1023.85,No,B7231
8167-GJLRN,Month-to-month,No,30.4,82.15,No,B7232
0956-SYCWG,One year,No,19.65,244.8,No,B7233
8017-UVSZU,Month-to-month,No,56.6,2379.1,No,B7234
7100-FQPRV,One year,Yes,71.9,3173.35,No,B7235
2472-OVKUP,Month-to-month,Yes,91.0,531,Yes,B7236
2984-RGEYA,Two year,No,19.75,1375.4,No,B7237
9680-NIAUV,Two year,No,109.7,8129.3,No,B7238
2146-EGVDT,Two year,No,19.3,1192.7,No,B7239
2604-IJPDU,Month-to-month,Yes,96.55,1901.65,No,B7240
9178-JHUVJ,Two year,Yes,24.1,587.4,No,B7241
6168-YBYNP,Month-to-month,Yes,111.35,6519.75,No,B7242
7255-SSFBC,Two year,Yes,112.25,8041.65,No,B7243
3645-DEYGF,Month-to-month,No,20.75,20.75,No,B7244
9323-HGFWY,One year,Yes,101.9,2681.15,No,B7245
8544-GOQSH,Month-to-month,Yes,80.05,1112.3,No,B7246
3363-DTIVD,Two year,No,105.55,7405.5,No,B7247
7018-WBJNK,Month-to-month,Yes,78.3,1033.95,No,B7248
9142-KZXOP,Month-to-month,No,68.85,2958.95,No,B7249
7674-YTAFD,One year,Yes,79.95,2684.85,No,B7250
6348-SNFUS,Two year,Yes,55.45,4179.2,No,B7251
1285-OKIPP,Month-to-month,No,79.9,79.9,Yes,B7252
7825-ECJRF,Month-to-month,Yes,106.6,1934.45,Yes,B7253
1347-KTTTA,One year,Yes,102.45,6654.1,No,B7254
7841-TZDMQ,Month-to-month,Yes,46.0,84.5,Yes,B7255
4195-NZGTA,Month-to-month,No,25.25,25.25,No,B7256
7157-SMCFK,Two year,No,19.75,1124.2,No,B7257
4709-LKHYG,One year,No,20.0,540.05,No,B7258
2504-DSHIH,Month-to-month,No,86.8,1975.85,No,B7259
0699-NDKJM,Month-to-month,Yes,58.75,3437.45,No,B7260
9286-BHDQG,Two year,No,45.25,3139.8,No,B7261
0230-WEQUW,Two year,Yes,56.6,3789.2,No,B7262
2040-LDIWQ,Two year,Yes,84.2,5324.5,No,B7263
6496-JDSSB,Month-to-month,Yes,80.0,624.6,No,B7264
9408-SSNVZ,Month-to-month,Yes,70.15,268.35,Yes,B7265
4443-EMBNA,Two year,No,24.75,1836.9,No,B7266
6469-MRVET,One year,Yes,20.2,20.2,No,B7267
0742-MOABM,Month-to-month,No,50.05,179.35,Yes,B7268
5961-VUSRV,One year,Yes,19.35,219.35,No,B7269
6778-JFCMK,One year,Yes,50.6,1288.75,No,B7270
6341-JVQGF,One year,Yes,81.15,2545.75,No,B7271
2232-DMLXU,Month-to-month,No,55.2,55.2,Yes,B7272
4811-JBUVU,Month-to-month,Yes,89.9,2723.15,No,B7273
0945-TSONX,Two year,Yes,85.3,4107.25,No,B7274
2651-ZCBXV,Two year,Yes,108.0,5760.65,No,B7275
3316-UWXUY,Month-to-month,Yes,93.5,4747.5,No,B7276
8937-RDTHP,Month-to-month,Yes,84.6,84.6,Yes,B7277
7083-MIOPC,Two year,No,20.25,1566.9,No,B7278
1984-GPTEH,Month-to-month,No,25.15,702,No,B7279
1251-KRREG,Month-to-month,Yes,54.4,114.1,Yes,B7280
0621-JFHOL,Two year,Yes,29.6,299.05,No,B7281
9903-LYSAB,Month-to-month,Yes,73.15,1305.95,No,B7282
0094-OIFMO,Month-to-month,Yes,95.0,1120.3,Yes,B7283
9227-UAQFT,Two year,No,19.75,284.35,No,B7284
7301-ABVAD,Two year,No,86.6,6350.5,No,B7285
6614-FHDBO,Two year,No,109.2,7878.3,No,B7286
7576-ASEJU,One year,Yes,74.7,3187.65,No,B7287
9058-HRZSV,Month-to-month,No,94.4,6126.15,No,B7288
4522-AKYLR,Month-to-month,Yes,54.8,731.3,No,B7289
0221-WMXNQ,Month-to-month,No,75.35,273.4,No,B7290
0303-UNCIP,One year,No,65.0,2531.8,No,B7291
9947-OTFQU,Month-to-month,Yes,74.4,1074.3,Yes,B7292
0322-YINQP,Month-to-month,Yes,48.55,48.55,Yes,B7293
0959-WHOKV,One year,Yes,99.0,4298.45,No,B7294
4075-JFPGR,One year,Yes,93.5,4619.55,No,B7295
4629-NRXKX,Month-to-month,No,70.4,147.15,Yes,B7296
9514-JDSKI,Month-to-month,No,40.2,40.2,Yes,B7297
3282-ZISZV,One year,No,83.7,2633.3,No,B7298
3675-YDUPJ,Month-to-month,Yes,19.85,193.05,No,B7299
4111-BNXIF,Two year,Yes,59.55,4103.9,No,B7300
7017-VFHAY,Two year,No,115.1,7008.15,No,B7301
6655-LHBYW,One year,No,114.35,5791.1,No,B7302
4959-JOSRX,Month-to-month,Yes,44.6,80.55,Yes,B7303
5046-NUHWD,Month-to-month,Yes,45.0,1228.65,No,B7304
7273-TEFQD,Month-to-month,Yes,41.15,132.2,Yes,B7305
3606-TWKGI,Month-to-month,Yes,106.9,1364.3,Yes,B7306
7529-ZDFXI,Month-to-month,Yes,89.85,4925.35,No,B7307
7605-BDWDC,Two year,Yes,49.85,1520.1,No,B7308
1950-KSVVJ,One year,No,113.3,5032.25,No,B7309
0123-CRBRT,Two year,No,88.1,5526.75,No,B7310
6292-TOSSS,Two year,No,24.9,1195.25,No,B7311
3197-ARFOY,Month-to-month,Yes,105.0,2007.25,No,B7312
6323-AYBRX,Two year,No,19.35,1099.6,Yes,B7313
7014-ZZXAW,Two year,Yes,24.25,1732.95,No,B7314
4385-GZQXV,Month-to-month,Yes,94.45,1511.2,Yes,B7315
7633-MVPUY,Two year,Yes,59.75,3450.15,No,B7316
6366-ZGQGL,Month-to-month,No,24.8,24.8,Yes,B7317
4716-HHKQH,Month-to-month,No,107.05,2172.05,No,B7318
5940-AHUHD,Month-to-month,No,70.6,70.6,Yes,B7319
6432-TWQLB,Month-to-month,Yes,85.4,401.1,Yes,B7320
4484-GLZOU,Month-to-month,Yes,105.05,5624.85,Yes,B7321
3179-GBRWV,Month-to-month,Yes,64.95,1339.8,No,B7322
8645-KWHJO,Month-to-month,Yes,55.0,771.95,No,B7323
4130-MZLCC,Month-to-month,No,50.55,244.75,No,B7324
0314-TKOSI,Month-to-month,No,55.15,322.9,No,B7325
8229-MYEJZ,Month-to-month,No,51.2,498.25,No,B7326
2080-SRCDE,Month-to-month,No,25.4,25.4,No,B7327
9577-WJVCQ,Month-to-month,No,54.45,3687.75,No,B7328
9512-UIBFX,Month-to-month,No,95.15,1779.95,Yes,B7329
6202-DYYFX,One year,Yes,76.0,1783.6,No,B7330
3808-HFKDE,Month-to-month,Yes,44.35,927.15,No,B7331
5583-SXDAG,Month-to-month,No,70.0,70,Yes,B7332
3488-PGMQJ,Month-to-month,Yes,74.5,606.55,Yes,B7333
3580-REOAC,Month-to-month,Yes,44.85,435.4,Yes,B7334
7534-BFESC,Month-to-month,Yes,76.1,1712.7,Yes,B7335
3727-OWVYD,One year,No,61.2,2021.2,No,B7336
2294-SALNE,One year,No,86.8,1940.8,No,B7337
4847-TAJYI,Month-to-month,Yes,89.35,567.8,No,B7338
1563-IWQEX,Month-to-month,No,19.7,220.35,No,B7339
8203-XJZRC,Month-to-month,No,20.25,20.25,No,B7340
6556-DBKZF,Two year,No,76.05,5436.45,No,B7341
6851-WEFYX,Month-to-month,Yes,100.8,3437.5,No,B7342
2985-JUUBZ,Month-to-month,Yes,74.55,3015.75,No,B7343
6390-DSAZX,Month-to-month,Yes,73.6,73.6,Yes,B7344
0895-LMRSF,One year,Yes,64.9,1509.8,No,B7345
8098-LLAZX,Month-to-month,Yes,95.45,396.1,Yes,B7346
8266-VBFQL,Month-to-month,Yes,90.4,356.65,No,B7347
8181-YHCMF,Two year,No,60.3,4109,No,B7348
2240-HSJQD,Month-to-month,Yes,81.85,3141.7,No,B7349
1248-DYXUB,Two year,No,24.8,1229.1,No,B7350
0265-EDXBD,Month-to-month,Yes,74.9,2303.35,Yes,B7351
4115-BNPJY,Two year,No,75.55,2054.4,No,B7352
3167-SNQPL,Month-to-month,No,101.15,3741.85,No,B7353
4091-TVOCN,One year,Yes,78.75,3682.45,No,B7354
1098-TDVUQ,Month-to-month,Yes,19.25,19.25,No,B7355
7277-OZCGZ,Month-to-month,Yes,89.05,1886.25,No,B7356
1557-EMYVT,Two year,No,115.05,4895.1,No,B7357
2799-ARNLO,Month-to-month,Yes,69.35,341.6,No,B7358
7563-BIUPC,Month-to-month,Yes,80.6,415.55,Yes,B7359
5027-YOCXN,One year,No,110.05,5686.4,No,B7360
3973-SKMLN,Two year,Yes,19.9,1355.1,No,B7361
2321-OMBXY,One year,No,80.3,3058.65,Yes,B7362
2840-XANRC,Month-to-month,Yes,93.15,2231.05,Yes,B7363
6745-JEFZB,Month-to-month,Yes,91.5,3236.35,No,B7364
5020-ZSTTY,One year,No,82.45,4350.1,Yes,B7365
9880-TDQAC,Two year,Yes,60.0,4264,No,B7366
8705-WZCYL,Month-to-month,Yes,44.8,44.8,No,B7367
7102-JJVTX,One year,No,48.6,422.3,No,B7368
8626-PTQGE,Two year,Yes,60.05,4176.7,No,B7369
4983-CLMLV,Month-to-month,Yes,102.7,5138.1,No,B7370
5701-YVSVF,Month-to-month,Yes,82.9,880.05,No,B7371
5804-LEPIM,Month-to-month,Yes,70.35,139.05,Yes,B7372
5697-GOMBF,Month-to-month,Yes,35.9,973.65,No,B7373
2739-CACDQ,Month-to-month,Yes,82.65,1470.05,No,B7374
9385-EHGDO,Two year,Yes,19.85,739.35,No,B7375
9498-FIMXL,One year,Yes,19.2,161.95,No,B7376
2379-GYFLQ,One year,Yes,94.9,4422.95,No,B7377
0122-OAHPZ,Month-to-month,Yes,73.85,511.25,Yes,B7378
2868-SNELZ,Month-to-month,No,80.6,155.8,Yes,B7379
4322-RCYMT,One year,Yes,75.8,5293.95,Yes,B7380
6680-NENYN,Two year,Yes,104.6,4759.85,Yes,B7381
2088-IEBAU,Two year,Yes,88.15,6148.45,No,B7382
7982-VCELR,Month-to-month,Yes,94.8,3565.65,No,B7383
1343-EHPYB,Month-to-month,Yes,103.4,6603,Yes,B7384
6035-BXTTY,Month-to-month,No,54.65,1830.1,No,B7385
6885-PKOAM,Two year,No,85.75,6223.8,No,B7386
7520-HQWJU,Month-to-month,Yes,67.45,4508.65,No,B7387
9639-BUJXT,One year,No,20.5,1328.15,No,B7388
5924-SNGKP,One year,Yes,20.25,865,No,B7389
0021-IKXGC,Month-to-month,Yes,72.1,72.1,No,B7390
2034-GDRCN,Month-to-month,Yes,90.4,168.2,Yes,B7391
8966-SNIZF,Two year,No,19.45,1303.5,No,B7392
6243-OZGFH,Month-to-month,Yes,44.95,996.85,No,B7393
4654-DLAMQ,One year,No,97.0,6430.9,No,B7394
0513-RBGPE,Two year,Yes,62.8,2278.75,No,B7395
5160-UXJED,One year,No,44.6,681.4,No,B7396
4115-NZRKS,Month-to-month,Yes,89.15,574.35,No,B7397
0219-YTZUE,Month-to-month,Yes,84.8,371.9,Yes,B7398
0623-IIHUG,Month-to-month,Yes,41.9,840.1,Yes,B7399
4572-DVCGN,Month-to-month,Yes,80.25,846,Yes,B7400
3351-NGXYI,Month-to-month,Yes,54.1,889,No,B7401
8984-EYLLL,Two year,Yes,105.25,6823.4,No,B7402
9057-MSWCO,Month-to-month,No,30.75,805.1,Yes,B7403
9833-TGFHX,One year,No,97.1,4016.75,No,B7404
9294-TDIPC,Month-to-month,No,20.2,83.75,No,B7405
5229-DTFYB,Two year,Yes,98.8,3959.15,No,B7406
0104-PPXDV,One year,No,50.3,2878.55,No,B7407
5176-LMJXE,Two year,Yes,20.55,945.7,No,B7408
3583-KRKMD,Month-to-month,Yes,75.9,1373.05,No,B7409
1010-DIAUQ,Month-to-month,No,96.5,492.55,Yes,B7410
9069-LGEUL,Month-to-month,Yes,59.95,1406,No,B7411
7302-ZHMHP,Month-to-month,No,19.15,19.15,No,B7412
9571-EDEBV,One year,Yes,98.65,6962.85,No,B7413
3520-FJGCV,Two year,Yes,112.6,8126.65,No,B7414
6563-VRERX,One year,No,20.6,690.25,No,B7415
0259-GBZSH,Month-to-month,Yes,85.65,181.5,Yes,B7416
6122-EFVKN,Two year,No,35.75,830.8,No,B7417
2805-EDJPQ,One year,Yes,99.75,5608.4,No,B7418
6862-CQUMB,Month-to-month,Yes,96.1,3646.8,No,B7419
7156-MXBJE,One year,No,85.1,3662.25,No,B7420
6158-HDPXZ,Month-to-month,No,25.35,25.35,No,B7421
9601-BRXPO,Month-to-month,Yes,104.95,2566.5,Yes,B7422
2863-IMQDR,Two year,No,89.65,5308.7,No,B7423
5686-CMAWK,One year,No,86.75,1410.25,No,B7424
5651-CRHKQ,One year,Yes,86.2,3339.05,No,B7425
6905-NIQIN,Month-to-month,No,50.65,50.65,Yes,B7426
8204-YJCLA,Two year,Yes,64.8,4732.35,No,B7427
5167-ZFFMM,Month-to-month,Yes,90.85,90.85,Yes,B7428
6583-SZVGP,Two year,Yes,108.1,5067.45,No,B7429
4895-TMWIR,Month-to-month,No,19.95,214.75,Yes,B7430
0533-BNWKF,Month-to-month,Yes,85.45,4874.7,Yes,B7431
1708-PBBOA,One year,Yes,54.75,2348.45,No,B7432
8782-LKFPK,Month-to-month,Yes,90.4,4063,No,B7433
5522-JBWMO,Month-to-month,No,44.0,44,No,B7434
3597-MVHJT,Month-to-month,Yes,95.6,2595.25,No,B7435
9774-NRNAU,Month-to-month,Yes,84.8,2309.55,No,B7436
0224-RLWWD,Month-to-month,Yes,44.3,89.3,No,B7437
9967-ATRFS,Month-to-month,No,19.9,367.55,No,B7438
3951-NJCVI,Month-to-month,Yes,95.05,3944.5,No,B7439
2977-CEBSX,Two year,Yes,90.05,5965.95,No,B7440
0177-PXBAT,Month-to-month,Yes,109.9,3694.7,No,B7441
6599-CEBNN,Month-to-month,Yes,73.95,2524.45,Yes,B7442
2519-ERQOJ,Month-to-month,Yes,54.6,1803.7,No,B7443
5876-QMYLD,One year,No,20.05,415.1,No,B7444
2277-AXSDC,One year,No,19.75,624.15,No,B7445
9442-JTWDL,One year,No,20.05,237.7,No,B7446
0979-PHULV,Month-to-month,Yes,99.45,7007.6,Yes,B7447
3067-SVMTC,One year,No,55.9,3848.8,No,B7448
5495-GPSRW,Two year,Yes,19.7,419.4,No,B7449
7606-BPHHN,Two year,Yes,19.8,1468.75,No,B7450
4742-DRORA,One year,Yes,95.4,5812,No,B7451
0111-KLBQG,Month-to-month,Yes,93.95,2861.45,No,B7452
4800-VHZKI,Month-to-month,Yes,19.9,19.9,Yes,B7453
7989-CHGTL,Month-to-month,Yes,19.6,19.6,Yes,B7454
0334-GDDSO,Month-to-month,Yes,81.35,233.7,Yes,B7455
4163-NCJAK,One year,Yes,24.45,1066.15,No,B7456
5233-AOZUF,Month-to-month,Yes,74.95,2149.05,No,B7457
5973-EJGDP,Month-to-month,Yes,87.35,4473,No,B7458
1996-DBMUS,Month-to-month,Yes,70.65,3545.05,No,B7459
7916-VCCPB,Month-to-month,No,73.25,1195.75,No,B7460
4686-GEFRM,Two year,Yes,98.7,6858.9,No,B7461
5249-QYHEX,Two year,Yes,24.8,1024.7,No,B7462
0578-SKVMF,Month-to-month,No,83.3,1845.9,Yes,B7463
5564-NEMQO,Month-to-month,Yes,75.3,75.3,Yes,B7464
2233-FAGXV,Month-to-month,Yes,24.3,132.25,No,B7465
5605-IYGFG,Month-to-month,Yes,69.85,515.45,No,B7466
7663-ZTEGJ,One year,No,100.55,2830.45,No,B7467
3935-TBRZZ,One year,No,25.7,1110.5,No,B7468
